"x","y","topics","Freq","cluster"
"-0.08050607","-0.02617207","53","0.3491462","1"
"-0.003186576","-0.03608489","54","0.3473957","1"
"0.1420717","-0.1178342","55","0.3464324","1"
"0.1114196","-0.06455967","56","0.3435143","1"
"0.1235289","0.04063508","57","0.3402046","1"
"0.01979385","-0.02692036","58","0.3383467","1"
"-0.08213236","0.118511","59","0.33171","1"
"-0.1811253","-0.07717708","60","0.3279595","1"
"0.05824179","0.06082028","61","0.3260149","1"
"-0.07591235","-0.03835498","62","0.3221332","1"
"0.007802308","0.1048585","63","0.3199859","1"
"-0.1102661","-0.02720369","64","0.3171476","1"
"-0.07392811","0.04905563","65","0.3101978","1"
"-0.09071065","-0.1031502","66","0.3074344","1"
"-0.005721675","-0.009521893","67","0.3069634","1"
"0.00265751","0.04176769","68","0.3067389","1"
"-0.05797821","-0.05028263","69","0.3027458","1"
"-0.05960391","-0.06936309","70","0.3011553","1"
"-0.0552689","-0.05812763","71","0.3003762","1"
"-0.02841023","-0.007472124","72","0.2938595","1"
"-0.08969241","-0.004129897","73","0.2931182","1"
"-0.03759626","-0.04989003","74","0.2922545","1"
"0.03146849","0.08621976","75","0.2902407","1"
"-0.15695","-0.06547122","76","0.2899836","1"
"0.0554197","0.0280676","77","0.2873972","1"
"0.1225005","-0.05653044","78","0.286222","1"
"0.1415079","-0.05056424","79","0.2842281","1"
"-0.1403059","-0.05643386","80","0.2828724","1"
"-0.03539486","-0.03130518","81","0.2814902","1"
"-0.06999901","0.1573303","82","0.2809","1"
"-0.09860069","-0.06986856","83","0.280099","1"
"0.02272494","0.1204672","84","0.2783798","1"
"0.03031913","0.130639","85","0.2774486","1"
"0.08136619","0.06396366","86","0.2772359","1"
"0.06290484","-0.1259783","87","0.277124","1"
"-0.07439254","0.05320194","88","0.2746707","1"
"-0.06637725","-0.06975888","89","0.2732712","1"
"0.1154178","0.03822807","90","0.2731038","1"
"0.01832326","0.1515702","91","0.2728098","1"
"0.05684826","-0.07151315","92","0.2697773","1"
"0.04070302","-0.002928599","93","0.2676978","1"
"0.03445383","0.01683733","94","0.266898","1"
"0.1518603","0.01330959","95","0.262225","1"
"-0.09843041","0.09250222","96","0.2607359","1"
"-0.1113832","-0.09072565","97","0.2589382","1"
"-0.007533236","0.005309471","98","0.2588571","1"
"0.07140863","0.01748289","99","0.2588392","1"
"-0.08792181","0.07049162","100","0.2569572","1"
"-0.1026128","-0.04879858","101","0.2564805","1"
"0.1223467","-0.09119372","102","0.2537709","1"
"-0.0773416","-0.064239","103","0.253629","1"
"-0.1275375","0.04458801","104","0.2535244","1"
"-0.1017157","0.08324261","105","0.2532439","1"
"-0.1190157","-0.03125316","106","0.2529386","1"
"0.03050725","-0.00787529","107","0.2516639","1"
"0.03984926","0.04336502","108","0.2502107","1"
"-0.103104","-0.05341272","109","0.2492038","1"
"0.09734288","-0.05566342","110","0.249083","1"
"0.1095375","-0.02469682","111","0.2486269","1"
"0.01492691","-0.03285569","112","0.2485835","1"
"0.01547544","0.0625426","113","0.2467661","1"
"-0.08502022","-0.02961032","114","0.2466489","1"
"0.03823097","0.03020505","115","0.2464833","1"
"-0.06367085","0.03622714","116","0.2458584","1"
"0.03656427","-0.03240241","117","0.2443108","1"
"0.09041362","-0.02668144","118","0.2442995","1"
"-0.08522582","-0.05651134","119","0.2429264","1"
"-0.03332193","-0.02680649","120","0.2425162","1"
"0.01997964","-0.06272525","121","0.2409899","1"
"-0.005225852","0.008055718","122","0.2406638","1"
"0.0791434","0.05965943","123","0.2401179","1"
"0.08685315","-0.07731237","124","0.2383122","1"
"0.1452678","-0.0339459","125","0.237945","1"
"-0.003812655","-0.03889558","126","0.2347955","1"
"-0.04678034","0.03290391","127","0.2309834","1"
"-0.02458041","-0.06361271","128","0.2303545","1"
"-0.07474733","-0.08754666","129","0.2299902","1"
"0.06466578","0.1401988","130","0.2282226","1"
"-0.01219941","-0.008638236","131","0.2281446","1"
"-0.04284635","0.0628599","132","0.2276485","1"
"-0.1304558","-0.03317116","133","0.2273204","1"
"0.1785966","-0.09838623","134","0.2272178","1"
"-0.1213006","-0.09138661","135","0.226385","1"
"0.09257015","-0.09060523","136","0.2247486","1"
"0.02786465","-0.1304654","137","0.2243233","1"
"0.02025714","0.2297603","138","0.2241642","1"
"0.03105766","0.1155222","139","0.2233889","1"
"-0.1380599","-0.1256658","140","0.2231499","1"
"0.07265803","-0.04320818","141","0.2229389","1"
"0.04557861","0.119848","142","0.2225992","1"
"-0.09849394","0.00123662","143","0.2219315","1"
"-0.01001901","0.06610643","144","0.2204633","1"
"-0.05908545","-0.0422087","145","0.2198531","1"
"0.04198373","0.0987462","146","0.2196991","1"
"0.1483284","-0.09778623","147","0.2192905","1"
"0.01018415","0.07945251","148","0.2190481","1"
"-0.07411364","0.008782767","149","0.2183352","1"
"0.07455226","-0.09273421","150","0.2182157","1"
"0.0801922","0.1429049","151","0.2177377","1"
"-0.1211409","0.0118294","152","0.2169343","1"
"0.08979107","-0.1116697","153","0.2167089","1"
"0.1651539","-0.07488564","154","0.2159786","1"
"0.104768","0.09641619","155","0.215476","1"
"-0.1038146","-0.0211734","156","0.2153895","1"
"-0.0002750004","0.00932088","157","0.2149605","1"
"-0.001659665","-0.04776469","158","0.2106339","1"
"0.0001864728","-0.06954134","159","0.2104931","1"
"-0.04068368","0.0854917","160","0.2098767","1"
"-0.0426652","0.06119661","161","0.2074194","1"
"-0.09364095","0.07899782","162","0.2069992","1"
"-0.04015775","0.02091839","163","0.2064671","1"
"0.09631561","0.06548432","164","0.2062247","1"
"0.009096408","0.1537079","165","0.2053017","1"
"0.08851745","-0.08716842","166","0.2050776","1"
"-0.01362014","0.07807272","167","0.2050496","1"
"-0.08065631","-0.03125916","168","0.2049137","1"
"-0.1007314","0.1159618","169","0.2045136","1"
"-0.02440168","0.04403386","170","0.2036538","1"
"-0.1006253","0.01704619","171","0.203378","1"
"0.02303664","-0.03079846","172","0.2033721","1"
"0.006868307","0.116044","173","0.2027766","1"
"-0.026081","-0.05505975","174","0.2025896","1"
"-0.1275528","-0.004141113","175","0.201836","1"
"-0.1019016","0.08559035","176","0.2010009","1"
"-0.05067914","0.0556155","177","0.200264","1"
"0.08284416","0.123771","178","0.1999646","1"
"-0.04619134","0.04005488","179","0.1987434","1"
"-0.003182115","0.02091438","180","0.198288","1"
"-0.115107","-0.06107715","181","0.1982308","1"
"0.05929958","-0.02805736","182","0.1982205","1"
"0.03506308","-0.06732242","183","0.1979853","1"
"0.04939857","-0.04656507","184","0.1975869","1"
"0.04581013","-0.01388844","185","0.1964792","1"
"-0.05050589","-0.0496745","186","0.1963491","1"
