"x","y","topics","Freq","cluster"
"-0.001550856","0.07288625","45","0.1477904","1"
"0.05684826","0.07151315","46","0.2697773","1"
"-0.06637725","0.06975888","47","0.2732712","1"
"-0.04556313","-0.01867486","48","0.1225219","1"
"-0.09849394","-0.00123662","49","0.2219315","1"
"0.05983806","0.01191241","50","0.1887239","1"
"0.09040934","0.0267119","51","0.1957798","1"
"-0.09843041","-0.09250222","52","0.2607359","1"
"-0.09692965","0.003425379","53","0.1216602","1"
"0.05765207","-0.1225015","54","0.1439136","1"
"0.05929958","0.02805736","55","0.1982205","1"
"-0.005721675","0.009521893","56","0.3069634","1"
"-0.01588889","0.03526557","57","0.5171589","1"
"-0.1019016","-0.08559035","58","0.2010009","1"
"-0.08861687","0.04413152","59","0.1663305","1"
"-0.07439254","-0.05320194","60","0.2746707","1"
"0.1395974","0.07512262","61","0.1361757","1"
"0.03888058","-0.03670934","62","0.08711698","1"
"-0.008800981","-0.03430133","63","0.4491744","1"
"-0.007108371","0.03515082","64","0.1474174","1"
"-0.1275528","0.004141113","65","0.201836","1"
"0.05919103","0.08401187","66","0.3613356","1"
"0.04581013","0.01388844","67","0.1964792","1"
"-0.04456273","0.08116856","68","0.5853563","1"
"-0.003812655","0.03889558","69","0.2347955","1"
"-0.136464","0.01987937","70","0.5771776","1"
"0.003955419","-0.06886729","71","0.1171382","1"
"-0.03041687","-0.07723532","72","0.1880125","1"
"0.01979385","0.02692036","73","0.3383467","1"
"-0.0275415","0.06385178","74","0.1696398","1"
"-0.0186888","0.02830728","75","0.6373507","1"
"-0.02221138","0.01448989","76","0.163764","1"
"0.0239997","-0.143804","77","0.1796394","1"
"-0.02607297","-0.06861927","78","0.145812","1"
"0.001187081","0.002032484","79","0.09612821","1"
"0.04750659","0.02560155","80","0.1961239","1"
"-0.1642519","0.06281772","81","0.7410222","1"
"0.1112342","0.04705447","82","1.292789","1"
"0.003871456","-0.1492215","83","0.1764668","1"
"-0.1006253","-0.01704619","84","0.203378","1"
"0.09041362","0.02668144","85","0.2442995","1"
"0.1518603","-0.01330959","86","0.262225","1"
"-0.07474733","0.08754666","87","0.2299902","1"
"0.05264668","-0.02361164","88","0.1764272","1"
"-0.06742825","0.04563469","89","0.1884284","1"
"-0.06501825","-0.01407942","90","0.109287","1"
"0.02261155","-0.03023453","91","0.1555128","1"
"0.006868307","-0.116044","92","0.2027766","1"
"0.07923132","-0.01477237","93","0.15765","1"
"-0.02581839","0.07663978","94","0.1647456","1"
"-0.05716264","-0.02071035","95","0.3858288","1"
"-0.05960391","0.06936309","96","0.3011553","1"
"-0.04284635","-0.0628599","97","0.2276485","1"
"-0.01790255","0.06091653","98","0.1724605","1"
"0.1225005","0.05653044","99","0.286222","1"
"0.04070302","0.002928599","100","0.2676978","1"
"-0.09091544","0.01668826","101","0.1653216","1"
"-0.03049504","-0.1115859","102","0.09678215","1"
"-0.02840443","0.008997749","103","0.1793766","1"
"0.04096708","0.01959419","104","0.1062666","1"
"0.02786465","0.1304654","105","0.2243233","1"
"-0.026081","0.05505975","106","0.2025896","1"
"-0.07049182","-0.08523728","107","0.172045","1"
"-0.0552689","0.05812763","108","0.3003762","1"
"-0.04694717","-0.09032663","109","0.1419722","1"
"-0.003182115","-0.02091438","110","0.198288","1"
"-0.1213956","0.09338578","111","0.1456757","1"
"0.05720781","0.09855666","112","0.09890784","1"
"-0.05992783","-0.1965025","113","0.1505022","1"
"0.05340661","0.01303003","114","0.1532407","1"
"0.03599596","-0.1127816","115","0.4033107","1"
"-0.0596821","-0.06119958","116","0.1746839","1"
"-0.04427636","0.02826832","117","0.1883558","1"
"0.01328848","-0.1094595","118","0.1668191","1"
"-0.07731121","0.06079044","119","0.1701195","1"
"-0.01362014","-0.07807272","120","0.2050496","1"
"-0.007533236","-0.005309471","121","0.2588571","1"
"0.01912552","0.04431593","122","0.1607508","1"
"4.232055E-05","0.02460241","123","0.1734863","1"
"0.1017676","0.07493507","124","0.6914261","1"
"-0.03451073","-0.1245356","125","0.1012047","1"
"0.08261241","0.05765799","126","0.1762287","1"
"-0.08502022","0.02961032","127","0.2466489","1"
"-0.01737535","0.08740451","128","0.1749321","1"
"-0.02440168","-0.04403386","129","0.2036538","1"
"0.05824179","-0.06082028","130","0.3260149","1"
"0.07501845","-0.1651351","131","0.158295","1"
"0.08326414","0.0839513","132","0.1724501","1"
"-0.02013932","0.07738374","133","0.1900424","1"
"-0.06005301","0.12733","134","0.1573515","1"
"0.04139022","-0.02574582","135","0.6195067","1"
"-0.1314702","0.09428327","136","0.775342","1"
"-0.1421142","0.00165474","137","0.7941607","1"
"-0.06281329","0.009296","138","0.4813258","1"
"0.08498945","-0.1070902","139","0.1232574","1"
"-0.07392811","-0.04905563","140","0.3101978","1"
